Title,Note,URL,Tags,Comment
,,,,
Maiz,,https://www.google.com/maps/place/Maiz/data=!4m2!3m1!1s0x89c259acc68752c1:0xa66f72c322a89e52,,
Sergimmo Salumeria,,https://www.google.com/maps/place/Sergimmo+Salumeria/data=!4m2!3m1!1s0x89c259b27d2968c1:0x10d73c1d4b14158e,,
Tres Amigos,,https://www.google.com/maps/place/Tres+Amigos/data=!4m2!3m1!1s0x89c259231bee9b53:0x3242055b24c7b51c,,
Pisillo Italian Panini Chelsea,,https://www.google.com/maps/place/Pisillo+Italian+Panini+Chelsea/data=!4m2!3m1!1s0x89c25986fd483923:0xf583f0c5ecc320bd,,
Buvette,,https://www.google.com/maps/place/Buvette/data=!4m2!3m1!1s0x89c2599371d90113:0x93a1212483085df3,,
11th Street Cafe,,https://www.google.com/maps/place/11th+Street+Cafe/data=!4m2!3m1!1s0x89c259eb3b157253:0x784e9012ae96a8c7,,
taïm mediterranean kitchen,,https://www.google.com/maps/place/ta%C3%AFm+mediterranean+kitchen/data=!4m2!3m1!1s0x89c25995c8e3ba21:0x6c4bfeb9dfd5aebf,,
Bonsignour,,https://www.google.com/maps/place/Bonsignour/data=!4m2!3m1!1s0x89c2599562d4755d:0x3cfcc926a8aebb71,,
