Title,Note,URL,Tags,Comment
,,,,
Hudson River Park Tennis Courts,,https://www.google.com/maps/place/Hudson+River+Park+Tennis+Courts/data=!4m2!3m1!1s0x89c259f3cc639b0f:0x121147d22edb68e2,,
TMPL - West Village,,https://www.google.com/maps/place/TMPL+-+West+Village/data=!4m2!3m1!1s0x89c259d3279d8ac5:0xa4499695c28f8fb7,,
Gym U NYC,,https://www.google.com/maps/place/Gym+U+NYC/data=!4m2!3m1!1s0x89c2598b6145a441:0x693f5ca18d54c80e,,
Life Time,,https://www.google.com/maps/place/Life+Time/data=!4m2!3m1!1s0x89c259f1c02b3209:0x55a27f610931ba7a,,
Perspire Sauna Studio,,https://www.google.com/maps/place/Perspire+Sauna+Studio/data=!4m2!3m1!1s0x89c2597d2b291565:0xde4c115027fd517a,,
Bathhouse Flatiron,,https://www.google.com/maps/place/Bathhouse+Flatiron/data=!4m2!3m1!1s0x89c25929d1aa3c91:0xbcc4d9eb2bf0d676,,
Remedy Place Flatiron,,https://www.google.com/maps/place/Remedy+Place+Flatiron/data=!4m2!3m1!1s0x89c2596853957885:0x6cef7846cb64817f,,
Othership Flatiron,,https://www.google.com/maps/place/Othership+Flatiron/data=!4m2!3m1!1s0x89c2590007db132b:0xc5163da95b446690,,
