Title,Note,URL,Tags,Comment
,,,,
La Table du Chef,,https://www.google.com/maps/place/La+Table+du+Chef/data=!4m2!3m1!1s0x12ce8194497b1c4d:0x5e7b554f815d7ffb,,
UVA - restaurant cannes,,https://www.google.com/maps/place/UVA+-+restaurant+cannes/data=!4m2!3m1!1s0x12ce813686c45517:0xd928cac0a6db180e,,
L’Atrium - Restaurant Cannes,,https://www.google.com/maps/place/L%E2%80%99Atrium+-+Restaurant+Cannes/data=!4m2!3m1!1s0x12ce81895c51ec41:0x785229a3137b4a2a,,
Le Pompon,,https://www.google.com/maps/place/Le+Pompon/data=!4m2!3m1!1s0x12ce818c2c3a251d:0xb4320d84f181ccdd,,
La Cantine Provençale,,https://www.google.com/maps/place/La+Cantine+Proven%C3%A7ale/data=!4m2!3m1!1s0x12ce8100d591b247:0x246b8f280aedadca,,
