Title,Note,URL,Tags,Comment
,,,,
Dao by Dorsett AMTD Singapore,,https://www.google.com/maps/place/Dao+by+Dorsett+AMTD+Singapore/data=!4m2!3m1!1s0x31da197531c9fa99:0x48c1681054361743,,
Mondrian Singapore Duxton,,https://www.google.com/maps/place/Mondrian+Singapore+Duxton/data=!4m2!3m1!1s0x31da193b54615c65:0x72a85549aac91569,,
The Robertson House by The Crest Collection,,https://www.google.com/maps/place/The+Robertson+House+by+The+Crest+Collection/data=!4m2!3m1!1s0x31da199f00cdc583:0x976d06ec8dec6cab,,
Carlton City Hotel Singapore,,https://www.google.com/maps/place/Carlton+City+Hotel+Singapore/data=!4m2!3m1!1s0x31da196cadc7e15b:0xd4d0bf1099ac5e0b,,
PARKROYAL on Beach Road,,https://www.google.com/maps/place/PARKROYAL+on+Beach+Road/data=!4m2!3m1!1s0x31da19b1be74cdb7:0xdc01759f24971744,,
PARKROYAL COLLECTION Marina Bay,,https://www.google.com/maps/place/PARKROYAL+COLLECTION+Marina+Bay/data=!4m2!3m1!1s0x47d8a789de28768b:0xf44170676b474694,,
